"TIME","GEO","DURATION","ISCED11","AGE","SEX","UNIT","Value"
"2014","Denmark","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","91.4"
"2015","Denmark","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","88.4"
"2016","Denmark","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","90.2"
"2000","Germany (until 1990 former territory of the FRG)","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","90.8"
"2001","Germany (until 1990 former territory of the FRG)","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","90.2"
"2002","Germany (until 1990 former territory of the FRG)","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","91.4"
"2003","Germany (until 1990 former territory of the FRG)","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","90.3"
"2004","Germany (until 1990 former territory of the FRG)","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","88.8"
"2005","Germany (until 1990 former territory of the FRG)","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","85.6"
"2006","Germany (until 1990 former territory of the FRG)","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","88.4"
"2007","Germany (until 1990 former territory of the FRG)","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","89.0"
"2008","Germany (until 1990 former territory of the FRG)","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","89.4"
"2009","Germany (until 1990 former territory of the FRG)","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","89.1"
"2010","Germany (until 1990 former territory of the FRG)","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","89.4"
"2011","Germany (until 1990 former territory of the FRG)","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","90.1"
"2012","Germany (until 1990 former territory of the FRG)","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","90.4"
"2013","Germany (until 1990 former territory of the FRG)","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","90.5"
"2014","Germany (until 1990 former territory of the FRG)","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","90.8"
"2015","Germany (until 1990 former territory of the FRG)","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","90.7"
"2016","Germany (until 1990 former territory of the FRG)","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","90.1"
"2000","Estonia","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","81.6"
"2001","Estonia","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","73.7"
"2002","Estonia","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","85.0"
"2003","Estonia","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","78.6"
"2004","Estonia","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","77.8"
"2005","Estonia","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","87.0"
"2006","Estonia","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","88.7"
"2007","Estonia","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","84.5"
"2008","Estonia","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","81.9"
"2009","Estonia","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","75.1"
"2010","Estonia","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","78.2"
"2011","Estonia","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","73.3"
"2012","Estonia","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","74.3"
"2013","Estonia","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","73.8"
"2014","Estonia","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","78.7"
"2015","Estonia","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","82.1"
"2016","Estonia","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","75.7"
"2000","Ireland","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage",":"
"2001","Ireland","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage",":"
"2002","Ireland","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","90.2"
"2003","Ireland","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","90.3"
"2004","Ireland","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","90.7"
"2005","Ireland","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","91.5"
"2006","Ireland","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","90.8"
"2007","Ireland","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","91.3"
"2008","Ireland","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","89.9"
"2009","Ireland","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","86.0"
"2010","Ireland","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","86.1"
"2011","Ireland","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","85.5"
"2012","Ireland","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","86.8"
"2013","Ireland","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","86.4"
"2014","Ireland","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","87.4"
"2015","Ireland","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","88.9"
"2016","Ireland","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","87.8"
"2000","Greece","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","84.8"
"2001","Greece","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","83.9"
"2002","Greece","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","83.7"
"2003","Greece","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","85.1"
"2004","Greece","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","84.9"
"2005","Greece","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","85.1"
"2006","Greece","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","86.2"
"2007","Greece","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","86.4"
"2008","Greece","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","85.8"
"2009","Greece","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","86.4"
"2010","Greece","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","83.0"
"2011","Greece","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","76.5"
"2012","Greece","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","72.1"
"2013","Greece","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","67.9"
"2014","Greece","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","68.2"
"2015","Greece","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","68.9"
"2016","Greece","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","70.4"
"2000","Spain","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","85.5"
"2001","Spain","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","86.6"
"2002","Spain","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","86.1"
"2003","Spain","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","87.1"
"2004","Spain","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","87.8"
"2005","Spain","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","87.0"
"2006","Spain","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","89.0"
"2007","Spain","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","89.6"
"2008","Spain","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","88.2"
"2009","Spain","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","85.5"
"2010","Spain","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","83.6"
"2011","Spain","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","83.1"
"2012","Spain","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","80.4"
"2013","Spain","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","80.6"
"2014","Spain","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","80.3"
"2015","Spain","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","81.5"
"2016","Spain","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","83.7"
"2000","France","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage",":"
"2001","France","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage",":"
"2002","France","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage",":"
"2003","France","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","89.1"
"2004","France","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","88.2"
"2005","France","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","89.1"
"2006","France","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","89.0"
"2007","France","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","89.3"
"2008","France","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","91.8"
"2009","France","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","89.0"
"2010","France","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","90.5"
"2011","France","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","90.4"
"2012","France","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","89.6"
"2013","France","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","87.6"
"2014","France","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","85.5"
"2015","France","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","86.0"
"2016","France","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","87.0"
"2000","Croatia","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage",":"
"2001","Croatia","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage",":"
"2002","Croatia","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage",":"
"2003","Croatia","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage",":"
"2004","Croatia","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","92.4"
"2005","Croatia","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","90.5"
"2006","Croatia","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","91.3"
"2007","Croatia","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","89.6"
"2008","Croatia","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","92.0"
"2009","Croatia","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","91.3"
"2010","Croatia","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","89.0"
"2011","Croatia","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","84.7"
"2012","Croatia","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","83.6"
"2013","Croatia","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","87.8"
"2014","Croatia","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","83.2"
"2015","Croatia","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","84.6"
"2016","Croatia","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","86.5"
"2000","Italy","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","84.3"
"2001","Italy","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","86.4"
"2002","Italy","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","87.1"
"2003","Italy","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","85.5"
"2004","Italy","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","86.3"
"2005","Italy","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","84.0"
"2006","Italy","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","83.4"
"2007","Italy","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","85.5"
"2008","Italy","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","85.1"
"2009","Italy","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","83.1"
"2010","Italy","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","81.2"
"2011","Italy","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","81.6"
"2012","Italy","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","80.9"
"2013","Italy","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","79.3"
"2014","Italy","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","77.0"
"2015","Italy","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","76.3"
"2016","Italy","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","76.1"
"2000","Cyprus","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","86.7"
"2001","Cyprus","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","91.9"
"2002","Cyprus","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","90.7"
"2003","Cyprus","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","91.5"
"2004","Cyprus","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","90.0"
"2005","Cyprus","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","88.8"
"2006","Cyprus","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","91.3"
"2007","Cyprus","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","93.2"
"2008","Cyprus","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","91.4"
"2009","Cyprus","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","91.0"
"2010","Cyprus","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","87.3"
"2011","Cyprus","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","84.6"
"2012","Cyprus","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","83.7"
"2013","Cyprus","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","83.0"
"2014","Cyprus","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","80.2"
"2015","Cyprus","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","82.9"
"2016","Cyprus","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","82.6"
"2000","Latvia","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage",":"
"2001","Latvia","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage",":"
"2002","Latvia","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","86.6"
"2003","Latvia","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","86.0"
"2004","Latvia","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","93.3"
"2005","Latvia","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","82.0"
"2006","Latvia","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","92.0"
"2007","Latvia","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","89.3"
"2008","Latvia","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","88.0"
"2009","Latvia","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","83.5"
"2010","Latvia","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","83.4"
"2011","Latvia","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","83.9"
"2012","Latvia","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","87.2"
"2013","Latvia","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","87.4"
"2014","Latvia","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","83.8"
"2015","Latvia","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","85.2"
"2016","Latvia","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","89.3"
"2000","Lithuania","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","82.2"
"2001","Lithuania","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","87.8"
"2002","Lithuania","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","86.8"
"2003","Lithuania","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","92.6"
"2004","Lithuania","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","89.7"
"2005","Lithuania","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","90.2"
"2006","Lithuania","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","91.2"
"2007","Lithuania","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","90.5"
"2008","Lithuania","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","91.1"
"2009","Lithuania","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","87.9"
"2010","Lithuania","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","88.1"
"2011","Lithuania","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","90.9"
"2012","Lithuania","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","91.6"
"2013","Lithuania","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","91.3"
"2014","Lithuania","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","90.3"
"2015","Lithuania","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","90.5"
